filename,categories,code,description,discount,feat,free,icon,link,price,thumbnailAlt,thumbnailImage,title,updateDate
fathom-analytics,"analytics, data, performance, traffic, tracking, paid",N/A,"A straightforward, privacy-focused website analytics tool for your Framer site.",N/A,False,False,./favicons/fathom.png,https://www.framer.com/marketplace/plugins/fathom-analytics?via=julesvcode,Paid,Screenshot of the Fathom Analytics plugin for Framer,./images/fathom-thumb.webp,Fathom Analytics,2024-12-10
json-sync,"cms, database, json, free",N/A,Import and export your CMS collections with JSON files.,N/A,False,True,./favicons/json-sync.png,https://www.framer.com/marketplace/plugins/json-sync/?via=julesvcode,Free,Screenshot of the JSON Sync plugin for Framer,./images/json-sync-thumb.webp,JSON Sync,2025-06-03
color-contrast,"colors, accessibility, utilities, free",N/A,Ensuring your Framer designs meet accessibility standards.,N/A,False,True,./favicons/colorcontrast.png,https://www.framer.com/marketplace/plugins/color-contrast?via=julesvcode,Free,Screenshot of the Color Contrast plugin for Framer,./images/colorcontrast-thumb.webp,Color Contrast,2024-12-10
image-resolution-adjuster,"images, utilities, seo, optimisation, free",N/A,Adjust the resolution of images in your Framer projects with ease.,N/A,False,True,./favicons/imageresolutionadjuster.png,https://www.framer.com/marketplace/plugins/image-resolution-adjuster--7d7yuykk3v73ru37ymwb024zk/?via=julesvcode,Free,Screenshot of the Image Resolution Adjuster plugin for Framer,./images/imageresolutionadjuster-thumb.webp,Image Resolution Adjuster,2024-11-28
framerfigma-sync,"figma, import, colors, text, styles, sync, design, paid",N/A,Import color and text styles from your Figma projects to Framer.,N/A,False,False,./favicons/framerfigma-sync.png,https://www.framer.com/marketplace/plugins/framerfigma-sync--dnfunk314n390xjlgfi020xhm/?via=julesvcode,Paid,Screenshot of the Framer/Figma Sync plugin for Framer,./images/framerfigma-sync-thumb.webp,Framer/Figma Sync,2024-10-15
remove-background,"images, editing, free",N/A,Remove backgrounds from your images right inside Framer.,N/A,False,True,./favicons/removebackground.png,https://www.framer.com/marketplace/plugins/remove-background--7myvaf3wpgyde91bvc0e51ki4/?via=julesvcode,Free,Screenshot of the Remove Background plugin for Framer,./images/removebackground-thumb.webp,Remove Background,2024-11-06
framify,"design, ui, components, templates, freemium, free",FRAMEPLATE15,"Streamline your Framer design process with pre-built components, sections & templates.",15% OFF,False,False,./favicons/framify.jpg,/framify,Paid,Screenshot of the Framify plugin for Framer,./images/framify-thumb.jpg,Framify,2025-03-07
search-console,"seo, free",N/A,"Track clicks, impressions and top search queries with real-time updates directly from Framer.",N/A,False,True,./favicons/search-console.png,https://www.framer.com/marketplace/plugins/search-console--6qoo7rj8055tzpgjzda3pojoi/?via=julesvcode,Free,Screenshot of the Search Console plugins for Framer,./images/search-console-thumb.webp,Search Console,2024-10-02
typesystem,"styles, types, text, design, styleguide, free",N/A,Generate responsive text styles for your Framer projects in one click.,N/A,False,True,./favicons/typesystem.png,https://www.framer.com/marketplace/plugins/typesystem--fg8kfqxy5jp1stoodoxrlqcy5/?via=julesvcode,Free,Screenshot of the TypeSystem plugin for Framer,./images/typesystem-thumb.webp,TypeSystem,2024-10-17
humblytics,"analytics, data, performance, traffic, tracking, paid",N/A,Simplify your website analytics without using any cookies.,N/A,False,False,./favicons/humblytics.png,https://www.framer.com/marketplace/plugins/humblytics--8zic8o95wui58bvcj7lepol1u/?via=julesvcode,Paid,Screenshot of the Humblytics plugin for Framer,./images/humblytics-thumb.webp,Humblytics,2024-10-11
iconstack,"icons, free",N/A,"The ultimate icon library plugin for Framer with over 40,000+ icons from 20+ packs.",N/A,False,True,./favicons/iconstack.png,https://www.framer.com/marketplace/plugins/iconstack--ejhq7iilptr63txplht0wv4lv/?via=julesvcode,Free,Screenshot of the Iconstack plugin for Framer,./images/iconstack-thumb.webp,Iconstack,2024-10-03
monkeyframes-pro,"icons, library, free",N/A,Integrate high-quality static icons into your Framer projects.,N/A,False,True,./favicons/monkeyframespro.png,https://www.framer.com/marketplace/plugins/monkeyframes-pro--ed1b0fquib8b719wv0h3exbqv/?via=julesvcode,Free,Screenshot of the Monkeyframes Pro plugin for Framer,./images/monkeyframespro-thumb.webp,Monkeyframes Pro,2024-11-08
affiliate-link-generator,"utilities, generator, free",N/A,Generate Framer affiliate links directly within your workspace.,N/A,False,True,./favicons/affiliatelink.png,https://www.framer.com/marketplace/plugins/affiliate-link-generator--19dyyx2pcptiblvsuxnvutj4x/?via=julesvcode,Free,Screenshot of the Affiliate Link Generator plugin for Framer,./images/affiliatelink-thumb.webp,Affiliate Link Generator,2024-11-15
